,Unnamed: 0,prodct_review,scores,compound,comp_score
0,0,Love it!,"{'neg': 0.0, 'neu': 0.182, 'pos': 0.818, 'compound': 0.6696}",0.6696,positive
1,1,Gotta collect them all!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
2,2,A.D.D.I.C.T.E.D.❣️,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
3,3,Day two,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
4,4,"Excellent formula, but be careful in color selection.","{'neg': 0.0, 'neu': 0.585, 'pos': 0.415, 'compound': 0.5023}",0.5023,positive
5,5,Amazing Red!,"{'neg': 0.0, 'neu': 0.196, 'pos': 0.804, 'compound': 0.6239}",0.6239,positive
6,6,"THE BEST liquid lipstick formula, of all time!","{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.7371}",0.7371,positive
7,7,Amazing!!!,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6884}",0.6884,positive
8,8,Love the shades and the stay!,"{'neg': 0.0, 'neu': 0.527, 'pos': 0.473, 'compound': 0.6696}",0.6696,positive
9,9,"VERY pigmented, long-lasting, great deal","{'neg': 0.0, 'neu': 0.443, 'pos': 0.557, 'compound': 0.7204}",0.7204,positive
10,10,"Faves for a Warm Undertone (Deep Autumn) South Asian: 50, 80, 160, and 275","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.2263}",0.2263,positive
11,11,Holy Grail Lipstick!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
12,12,Not as drying as others,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
13,13,I love the SuperStay Mattes! It needs to be easier to identify color #'s and names tho -,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.807}",0.807,positive
14,14,If you're crunchy it's not for you.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
15,15,Huntress is Fierce!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
16,16,Beautiful,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.5994}",0.5994,positive
17,17,Sticks!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
18,18,Great wedding day lipstick!,"{'neg': 0.0, 'neu': 0.406, 'pos': 0.594, 'compound': 0.6588}",0.6588,positive
19,19,Liquid Gold,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
20,20,Lasts for several hours without needing a touchup.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
21,21,"Great, with drawbacks","{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,positive
22,22,A MILLIOM TIMES YES!!!,"{'neg': 0.0, 'neu': 0.359, 'pos': 0.641, 'compound': 0.5538}",0.5538,positive
23,23,It's going to be a go to lip color...,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
24,24,"I never wear lip stick, stain, gloss or ...","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
25,25,Lasts great!,"{'neg': 0.0, 'neu': 0.185, 'pos': 0.815, 'compound': 0.6588}",0.6588,positive
26,26,"Been ordering this for years, long lasting and gorgeous","{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.6124}",0.6124,positive
27,27,Buy this stuff!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
28,28,Just okay,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.2263}",0.2263,positive
29,29,Stays put beneath your mask!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
30,30,8+ hours !,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
31,31,Confused as to what all the hype is about,"{'neg': 0.223, 'neu': 0.777, 'pos': 0.0, 'compound': -0.3182}",-0.3182,negative
32,32,Loved Amazonian & Lover!,"{'neg': 0.0, 'neu': 0.111, 'pos': 0.889, 'compound': 0.8398}",0.8398,positive
33,33,This stuff is NO JOKE,"{'neg': 0.331, 'neu': 0.338, 'pos': 0.331, 'compound': 0.0}",0.0,neutral
34,34,My Holy Grail lip color,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
35,35,Love this lipstick!!,"{'neg': 0.0, 'neu': 0.295, 'pos': 0.705, 'compound': 0.6988}",0.6988,positive
36,36,"""Ground Breaker"" red color","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
37,37,Would buy again,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
38,38,Smudge proof,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
39,39,It's a lipstick,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
40,40,Truly amazing. Believe the hype,"{'neg': 0.0, 'neu': 0.309, 'pos': 0.691, 'compound': 0.7717}",0.7717,positive
41,41,Seductress is better,"{'neg': 0.0, 'neu': 0.408, 'pos': 0.592, 'compound': 0.4404}",0.4404,positive
42,42,180 - Revolutionary- Love this color,"{'neg': 0.0, 'neu': 0.488, 'pos': 0.512, 'compound': 0.6369}",0.6369,positive
43,43,Perfect Color!,"{'neg': 0.0, 'neu': 0.2, 'pos': 0.8, 'compound': 0.6114}",0.6114,positive
44,44,Absolutely incredible for the price! (15 Lover),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
45,45,I ordered Dreamer this time and it's my favorite so far,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.4588}",0.4588,positive
46,46,Stays and looks hydrated,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
47,47,"Was this previously opened/used? Also, not the color I was expecting.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
48,48,AWESOME LIPPY!!,"{'neg': 0.0, 'neu': 0.176, 'pos': 0.824, 'compound': 0.6892}",0.6892,positive
49,49,Wanted to love.,"{'neg': 0.0, 'neu': 0.323, 'pos': 0.677, 'compound': 0.6369}",0.6369,positive
50,50,The hype is real!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
51,51,Way too sticky and hard to get off,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.1027}",-0.1027,negative
52,52,Perfect!,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6114}",0.6114,positive
53,53,This stuff is INVINCIBLE,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.6037}",0.6037,positive
54,54,"Color not as advertised, unfortunately","{'neg': 0.0, 'neu': 0.663, 'pos': 0.337, 'compound': 0.2584}",0.2584,positive
55,55,"Ditch Lip$ense, this is WAY better!","{'neg': 0.0, 'neu': 0.61, 'pos': 0.39, 'compound': 0.4926}",0.4926,positive
56,56,Great lip stain!,"{'neg': 0.0, 'neu': 0.313, 'pos': 0.687, 'compound': 0.6588}",0.6588,positive
57,57,I have a few of these now but i wore it best last night,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.7783}",0.7783,positive
58,58,Awesome staying power,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",0.6249,positive
59,59,Ridiculous staying power,"{'neg': 0.556, 'neu': 0.444, 'pos': 0.0, 'compound': -0.3612}",-0.3612,negative
60,60,Where has this been all my life?!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
61,61,Really long-lasting!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
62,62,All day wear!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
63,63,Wished do come True :),"{'neg': 0.0, 'neu': 0.341, 'pos': 0.659, 'compound': 0.7003}",0.7003,positive
64,64,STAYS ON for at LEAST 9 hours!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
65,65,Doesn’t fade!!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
66,66,The only brand I trust through a busy day/night. For years!,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5562}",0.5562,positive
67,67,"Beautiful colors, lasts forever, long wearing!","{'neg': 0.0, 'neu': 0.544, 'pos': 0.456, 'compound': 0.636}",0.636,positive
68,68,Nice long wear lipstick!,"{'neg': 0.0, 'neu': 0.492, 'pos': 0.508, 'compound': 0.4753}",0.4753,positive
69,69,This lipstick is amazing.,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}",0.5859,positive
70,70,Good customer service. Nice color,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.6908}",0.6908,positive
71,71,Can't return even though I am allergic. Waste of money. Glue texture.,"{'neg': 0.357, 'neu': 0.643, 'pos': 0.0, 'compound': -0.6124}",-0.6124,negative
72,72,Pretty Colors,"{'neg': 0.0, 'neu': 0.238, 'pos': 0.762, 'compound': 0.4939}",0.4939,positive
73,73,Long Wear!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
74,74,Winner winner chicken dinner !,"{'neg': 0.0, 'neu': 0.202, 'pos': 0.798, 'compound': 0.8356}",0.8356,positive
75,75,I want them all!,"{'neg': 0.0, 'neu': 0.557, 'pos': 0.443, 'compound': 0.1511}",0.1511,positive
76,76,Listen to the 1 star reviews,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
77,77,Wonderful product.,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.5719}",0.5719,positive
78,78,Came broke and can't return,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
79,79,The Mocha Inventor color is perfect for African American or darker skin tones!,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.6114}",0.6114,positive
80,80,Will buy again!!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
81,81,This Stuff Stays Put,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
82,82,Love the color!,"{'neg': 0.0, 'neu': 0.308, 'pos': 0.692, 'compound': 0.6696}",0.6696,positive
83,83,Maybelline Got It Right!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
84,84,Stays PUT!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
85,85,Amazing Matte Long Wear,"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.5859}",0.5859,positive
